token_id,freq,primary_lang,tier,concentration,mse,rel_err,row_norm
193754,1,spa_Latn,high,1.0,4.97456e-06,0.0921926,1.09483
165157,1,spa_Latn,high,1.0,4.59633e-06,0.092697,1.04666
147201,1,spa_Latn,high,1.0,3.42694e-06,0.0926088,0.90462
155836,1,spa_Latn,high,1.0,3.63239e-06,0.0925629,0.931804
251371,1,spa_Latn,high,1.0,4.37347e-06,0.0906389,1.04415
16581,1,spa_Latn,high,1.0,2.40412e-05,0.101305,2.19034
133741,1,spa_Latn,high,1.0,5.05128e-06,0.0926107,1.09826
127408,1,spa_Latn,high,1.0,9.32278e-06,0.101494,1.36144
53134,1,spa_Latn,high,1.0,1.15989e-05,0.0967042,1.59378
132866,1,spa_Latn,high,1.0,6.99e-06,0.0963389,1.24194
12372,1,spa_Latn,high,1.0,1.88886e-05,0.0949725,2.07094
140675,1,spa_Latn,high,1.0,8.86136e-06,0.0927645,1.45222
247538,1,spa_Latn,high,1.0,4.0378e-06,0.0925547,0.982514
41528,1,spa_Latn,high,1.0,8.1486e-06,0.093748,1.37799
5727,1,spa_Latn,high,1.0,2.92477e-05,0.102042,2.39846
164921,1,spa_Latn,high,1.0,4.96272e-06,0.0946162,1.06552
130101,1,spa_Latn,high,1.0,4.21161e-06,0.0924721,1.00433
123238,1,spa_Latn,high,1.0,4.42369e-06,0.0938396,1.01431
20873,1,spa_Latn,high,1.0,7.02657e-06,0.0915469,1.31037
107707,1,spa_Latn,high,1.0,3.9263e-06,0.0940097,0.953859
48191,1,spa_Latn,high,1.0,9.05438e-06,0.0931294,1.4622
6599,1,spa_Latn,high,1.0,2.44956e-05,0.100593,2.22659
109375,1,spa_Latn,high,1.0,5.2316e-06,0.0918312,1.12718
37088,1,spa_Latn,high,1.0,1.14639e-05,0.0942485,1.62576
213592,1,spa_Latn,high,1.0,4.38268e-06,0.0950004,0.997262
198379,1,spa_Latn,high,1.0,5.55313e-06,0.0915651,1.16467
240373,1,spa_Latn,high,1.0,6.48308e-06,0.0921718,1.25014
168952,1,spa_Latn,high,1.0,4.2015e-06,0.091796,1.01052
24316,1,spa_Latn,high,1.0,1.01908e-05,0.0886776,1.62913
136654,1,spa_Latn,high,1.0,7.42255e-06,0.0933404,1.32091
138387,1,spa_Latn,high,1.0,5.16824e-06,0.0890002,1.15597
201456,1,spa_Latn,high,1.0,4.13038e-06,0.0930964,0.987932
225279,1,spa_Latn,high,1.0,3.81053e-06,0.091582,0.964601
169973,1,spa_Latn,high,1.0,3.42008e-06,0.0938571,0.891695
78533,1,spa_Latn,high,1.0,7.71298e-06,0.0935831,1.34301
59257,1,spa_Latn,high,1.0,6.69872e-06,0.0977207,1.1986
201505,1,spa_Latn,high,1.0,7.73351e-06,0.0967395,1.30092
20099,1,spa_Latn,high,1.0,1.39296e-05,0.0911642,1.85272
28923,1,spa_Latn,high,1.0,1.01561e-05,0.0905228,1.5932
14842,1,spa_Latn,high,1.0,2.00972e-05,0.100749,2.01368
45932,1,spa_Latn,high,1.0,5.07494e-06,0.0925548,1.10149
47974,1,spa_Latn,high,1.0,6.18032e-06,0.09755,1.1533
222019,1,spa_Latn,high,1.0,4.44108e-06,0.0885468,1.07705
210307,1,spa_Latn,high,1.0,9.89227e-06,0.0923079,1.54196
210622,1,spa_Latn,high,1.0,6.37853e-06,0.0931555,1.22692
95911,1,spa_Latn,high,1.0,4.73203e-06,0.0921381,1.06844
46024,1,spa_Latn,high,1.0,4.60302e-06,0.0895599,1.08411
16163,1,spa_Latn,high,1.0,1.62493e-05,0.0949859,1.92054
38292,1,spa_Latn,high,1.0,7.27041e-06,0.0890404,1.37043
32747,1,spa_Latn,high,1.0,4.3615e-06,0.0915596,1.03224
154371,1,spa_Latn,high,1.0,5.02481e-06,0.0925738,1.09581
113723,1,spa_Latn,high,1.0,1.10681e-05,0.0958964,1.57
56789,1,spa_Latn,high,1.0,6.28164e-06,0.0896727,1.26486
120755,1,spa_Latn,high,1.0,6.63374e-06,0.0901999,1.29223
67740,1,spa_Latn,high,1.0,6.11006e-06,0.0875906,1.27712
160140,1,spa_Latn,high,1.0,7.89929e-06,0.0911452,1.39549
83535,1,spa_Latn,high,1.0,6.1479e-06,0.0914493,1.22701
218518,1,spa_Latn,high,1.0,7.28578e-06,0.0944773,1.29293
95171,1,spa_Latn,high,1.0,4.75542e-06,0.0904737,1.09078
123334,1,spa_Latn,high,1.0,4.005e-06,0.0924093,0.980055
47568,1,spa_Latn,high,1.0,1.09511e-05,0.0947954,1.57982
178636,1,spa_Latn,high,1.0,6.80852e-06,0.0941755,1.25387
31827,1,spa_Latn,high,1.0,9.43967e-06,0.0965183,1.44057
51960,1,spa_Latn,high,1.0,4.293e-06,0.0939004,0.998569
177841,1,spa_Latn,high,1.0,4.33591e-06,0.0911281,1.03408
2644,1,spa_Latn,high,1.0,1.13619e-05,0.0898635,1.69749
99089,1,spa_Latn,high,1.0,4.83247e-06,0.0907152,1.09665
140596,1,spa_Latn,high,1.0,6.84741e-06,0.091894,1.28867
