tensor,layer,kind,rel_err
model.layers.23.mlp.down_proj.weight,23,down_proj,0.092998
model.layers.2.self_attn.o_proj.weight,2,o_proj,0.091612
model.layers.18.self_attn.o_proj.weight,18,o_proj,0.091794
model.layers.6.mlp.down_proj.weight,6,down_proj,0.092419
model.layers.2.mlp.up_proj.weight,2,up_proj,0.091836
model.layers.7.self_attn.q_proj.weight,7,q_proj,0.10134
model.layers.2.mlp.gate_proj.weight,2,gate_proj,0.091738
model.layers.7.self_attn.o_proj.weight,7,o_proj,0.091522
model.layers.13.self_attn.o_proj.weight,13,o_proj,0.091481
model.layers.24.self_attn.o_proj.weight,24,o_proj,0.091757
model.layers.2.mlp.down_proj.weight,2,down_proj,0.092204
model.layers.23.self_attn.k_proj.weight,23,k_proj,0.09639
model.layers.2.self_attn.q_proj.weight,2,q_proj,0.094489
model.layers.19.mlp.up_proj.weight,19,up_proj,0.093488
model.layers.11.self_attn.o_proj.weight,11,o_proj,0.091537
model.layers.18.self_attn.q_proj.weight,18,q_proj,0.093827
model.layers.18.mlp.up_proj.weight,18,up_proj,0.093007
model.layers.3.mlp.down_proj.weight,3,down_proj,0.091665
model.layers.10.mlp.down_proj.weight,10,down_proj,0.093872
model.layers.19.self_attn.v_proj.weight,19,v_proj,0.09445
model.layers.6.mlp.gate_proj.weight,6,gate_proj,0.091948
model.layers.14.mlp.down_proj.weight,14,down_proj,0.093257
model.layers.4.self_attn.q_proj.weight,4,q_proj,0.09553
model.layers.4.self_attn.v_proj.weight,4,v_proj,0.093316
model.layers.17.self_attn.k_proj.weight,17,k_proj,0.09679
model.layers.22.self_attn.k_proj.weight,22,k_proj,0.098078
model.layers.17.mlp.up_proj.weight,17,up_proj,0.093419
model.layers.19.self_attn.q_proj.weight,19,q_proj,0.093509
model.layers.16.self_attn.k_proj.weight,16,k_proj,0.096157
model.layers.17.mlp.gate_proj.weight,17,gate_proj,0.093304
model.layers.16.self_attn.v_proj.weight,16,v_proj,0.095922
model.layers.17.mlp.down_proj.weight,17,down_proj,0.093084
model.layers.18.mlp.down_proj.weight,18,down_proj,0.09222
model.layers.21.mlp.up_proj.weight,21,up_proj,0.09347
model.layers.11.mlp.gate_proj.weight,11,gate_proj,0.092641
model.layers.5.mlp.down_proj.weight,5,down_proj,0.093455
model.layers.16.self_attn.o_proj.weight,16,o_proj,0.091517
model.layers.22.self_attn.o_proj.weight,22,o_proj,0.091662
model.layers.16.mlp.up_proj.weight,16,up_proj,0.094184
model.layers.15.self_attn.v_proj.weight,15,v_proj,0.093747
model.layers.14.self_attn.v_proj.weight,14,v_proj,0.094704
model.layers.22.self_attn.q_proj.weight,22,q_proj,0.093481
model.layers.1.self_attn.k_proj.weight,1,k_proj,0.094075
model.layers.14.self_attn.k_proj.weight,14,k_proj,0.106752
model.layers.13.self_attn.v_proj.weight,13,v_proj,0.094433
model.layers.19.self_attn.k_proj.weight,19,k_proj,0.094929
model.layers.12.mlp.gate_proj.weight,12,gate_proj,0.092604
model.layers.14.self_attn.o_proj.weight,14,o_proj,0.091435
model.layers.3.self_attn.v_proj.weight,3,v_proj,0.092776
model.layers.0.mlp.up_proj.weight,0,up_proj,0.091677
model.layers.1.mlp.gate_proj.weight,1,gate_proj,0.093117
model.layers.13.self_attn.q_proj.weight,13,q_proj,0.093416
model.layers.25.self_attn.q_proj.weight,25,q_proj,0.092513
model.layers.15.self_attn.q_proj.weight,15,q_proj,0.091819
model.layers.12.self_attn.q_proj.weight,12,q_proj,0.095053
model.layers.26.mlp.up_proj.weight,26,up_proj,0.09226
model.layers.12.self_attn.v_proj.weight,12,v_proj,0.093926
model.layers.14.self_attn.q_proj.weight,14,q_proj,0.1009
